,name,value,description
0,fs.getspaceused.jitterMillis,zPdoY,fs space usage statistics refresh jitter in msec.
1,dfs.edit.log.transfer.bandwidthPerSec,0,"Maximum bandwidth used for transferring edit log to between journal nodes
    for syncing, in bytes per second.
    A default value of 0 indicates that throttling is disabled."
2,yarn.nodemanager.runtime.linux.docker.stop.grace-period,10,
3,ipc.server.max.connections,0,"The maximum number of concurrent connections a server is allowed
    to accept. If this limit is exceeded, incoming connections will first fill
    the listen queue and then may go to an OS-specific listen overflow queue.
    The client may fail or timeout, but the server can avoid running out of file
    descriptors using this feature. 0 means no limit."
4,yarn.timeline-service.hbase.coprocessor.app-final-value-retention-milliseconds,259200000,
5,dfs.stream-buffer-size,4096,"The size of buffer to stream files.
  The size of this buffer should probably be a multiple of hardware
  page size (4096 on Intel x86), and it determines how much data is
  buffered during read and write operations."
6,yarn.nodemanager.disk-health-checker.min-free-space-per-disk-mb,0,
7,yarn.scheduler.configuration.leveldb-store.compaction-interval-secs,86400,
8,yarn.app.mapreduce.am.job.task.listener.thread-count,30,"The number of threads used to handle RPC calls in the
    MR AppMaster from remote tasks"
9,yarn.resourcemanager.rm.container-allocation.expiry-interval-ms,600000,
